Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,40,100230,3339552328997,"skipped overlay6
"
PROCESS_OUTPUT,STREAM_STDIO,40,100230,3339552407291,"skipped overlay5
"
PROCESS_OUTPUT,STREAM_STDIO,40,100230,3339552433575,"skipped overlay4
"
PROCESS_OUTPUT,STREAM_STDIO,40,100230,3339552456827,"skipped overlay3
"
PROCESS_OUTPUT,STREAM_STDIO,40,100230,3339552480083,"skipped overlay2
"
PROCESS_OUTPUT,STREAM_STDIO,40,100230,3339552503109,"skipped overlay1
"
PROCESS_OUTPUT,STREAM_STDIO,40,100230,3339560405422,"[SceLncService] hasParamSfo = {1}, attribute = {0x00000002}
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339560635742,"[Syscore App] createApp NPXX51362
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339560745247,"[Syscore App]  ExpandCpuSetMode : disable
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339561051917,"[Syscore App] processSpawn(pid, 0xb0c0f08, 0x10f08340, appParam, processParam, 1, 1, 1, param, debug, 0)
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339561088648,"[Syscore App] appParam: appType = 0, rootPath = /mnt/sandbox/DEBUG00004_000, titleId = NPXX51362
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339561112712,"[Syscore App] processParam: elfPath = /host/D:\chaosinitiative\Sticky\Builds\eboot.bin, fullPath = /host/D:\chaosinitiative\Sti"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339561135622,"cky\Builds\eboot.bin
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339561416125,"[Syscore App] new pid=0x65[Syscore App] attributeExe= 0
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339564578224,"[Syscore App] Ready to exec
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3339564870803,"[Syscore App] wait for NOTE_EXIT|NOTE_EXEC
"
PROCESS_OUTPUT,STREAM_STDIO,51,100553,3339603602661,"[VCS]checkNecessityToReduceCpuUsage() [LNC->VCS] * MEASURE_TIME * isShellUiFgAndGameBgCpuMode flag changed. time = 147627324631"
